timestamp,asset,live_price,target_price,date,ticker
2026-07-04 23:08:25,SILVER_TRUST,55.02,54.4698,,
,,6.224,6.0995,2026-07-04,HG=F
,,76.65,78.183,2026-07-04,COPX
,,60.97,64.0185,2026-07-04,FCX
,,19.16,19.7348,2026-07-04,SRUUF
,,52.83,54.9432,2026-07-04,URNM
,,96.54,102.3324,2026-07-04,CCJ
,,62.815,61.5587,2026-07-04,SI=F
,,55.02,54.4698,2026-07-04,SLV
,,46.29,47.6787,2026-07-04,PAAS
,,184.17,191.5368,2026-07-04,GRID
,,1113.11,1202.1588,2026-07-04,GEV
